qid,run_id,qtype,topic,organic_returned,dashboard_returned,organic_survivors,dashboard_survivors,injected_dash_domains,expected_resolution_domain,resolution_source_injected,pool_overlap_mean,pool_overlap_max,survivor_overlap_mean,llm_pool_ontopic,llm_survivor_ontopic,n_records,n_usable,insight_from_organic,insight_from_dashboard,top_metric_value,top_metric_name,top_count_basis,expected_basis,top_confidence,top_n_sources,top_origin,top_source_url,top_quote,top_scope_ok,anchor_present,evidence_sufficient,single_fragile_source,classification,cause,cause_detail
bfg_q13,20260705_091725,range,mpox (world),44,7,0,7,"cdc.gov,ecdc.europa.eu,mpox-monthly.ecdc.europa.eu,ourworldindata.org,paho.org,who.int,worldhealthorg.shinyapps.io",who.int,True,0.2279,0.3514,0.0,0.0,,10,5,0,10,964.0,confirmed_cases,incident,incident,0.85,1,dashboard,https://www.paho.org/en/situation-reports?topic=87192&d%5Bmin%5D=&d%5Bmax%5D=,ten countries have reported a combined 964 mpox cases and one death,True,True,True,False,dashboard_only,search-recall,"4 organic looked on-topic by keyword overlap (e.g. statnews.com) but the LLM judge rates the pool 0% on-topic — generic news, not authoritative coverage. Organic-authority gap; dashboard rightly carries it."
bfg_q14,20260705_091832,range,measles (us),21,2,2,2,"cdc.gov,paho.org",cdc.gov,True,0.3129,0.5238,0.5238,0.2,1.0,3,2,1,2,2170.0,confirmed_cases,cumulative,cumulative,0.85,1,dashboard,https://www.cdc.gov/measles/data-research/index.html,"2,170 confirmed* measles cases were reported in the United States in 2026.",True,True,True,True,dashboard_only,robustness,high-confidence anchor present but rests on a single source; add a corroborating source.
bfg_q15,20260705_091859,binary,measles (us),21,2,0,2,"cdc.gov,paho.org",paho.org,True,0.2063,0.381,0.0,0.5333,,10,4,0,10,285.0,confirmed_cases,cumulative,,0.85,1,dashboard,https://www.cdc.gov/measles/data-research/index.html,a total of 285 measles cases were reported in the U.S.,True,True,True,True,dashboard_only,filter-recall,"4 on-topic organic in pool (max_overlap=0.38, e.g. nypost.com) but 0 survived the filter. LLM judge: pool 53% on-topic."
bfg_q16,20260705_091921,range,measles (us),20,2,0,2,"cdc.gov,paho.org",cdc.gov,True,0.3028,0.5,0.0,0.0667,,0,0,0,0,,,,cumulative,,0,none,,,False,False,False,False,under_supported,extraction,2 dashboard(s) survived filtering but produced 0 insight records (non-extractable tracker/index/JS page).
bfg_q17,20260705_091942,range,cholera (world),41,1,0,1,who.int,who.int,True,0.2514,0.3846,0.0,0.0,,14,3,0,14,114829.0,confirmed_cases,cumulative,cumulative,0.5,1,dashboard,https://www.who.int/emergencies/situations/cholera-upsurge,a total of 114 829 cholera and AWD cases and 1318 deaths were reported from 23 countries across four WHO regions,True,True,False,True,dashboard_only,insight,"scope-matched anchor present (value=114829.0, basis=cumulative vs expected cumulative, conf=0.5) but below the high-confidence/expected-basis bar; off-scope rows outrank it."
bfg_q18,20260705_092005,range,dengue (americas),34,1,0,1,paho.org,paho.org,True,0.2579,0.3846,0.0,0.0,,14,4,0,14,251057.0,suspected_cases,cumulative,cumulative,0.85,1,dashboard,https://www.paho.org/en/epidemiological-alerts-and-updates,"251,057 suspected dengue cases were reported",True,True,True,True,dashboard_only,search-recall,"13 organic looked on-topic by keyword overlap (e.g. abcnews.com) but the LLM judge rates the pool 0% on-topic — generic news, not authoritative coverage. Organic-authority gap; dashboard rightly carries it."
bfg_q19,20260705_092037,range,chikungunya (eu-eea),29,1,0,1,ecdc.europa.eu,ecdc.europa.eu,True,0.1708,0.2857,0.0,0.0,,1,0,0,1,1.0,confirmed_cases,incident,cumulative,0.5,1,dashboard,https://www.ecdc.europa.eu/en/chikungunya-monthly,"In 2026, Saint Lucia reported a locally acquired CHIKVD case.",False,False,False,False,under_supported,search-recall,organic pool weak (max_overlap=0.29); dashboards carry the question.
bfg_q20,20260705_092052,range,oropouche (americas),38,1,2,1,paho.org,paho.org,True,0.1967,0.3684,0.0526,0.1333,0.0,1,0,0,1,1.0,new_outbreaks_declared,unknown,cumulative,0.7,1,dashboard,https://www.paho.org/en/topics/oropouche-virus-disease,"Desde finales de 2023, se han reportado brotes de la enfermedad por el virus Oropouche en varios países de América del Sur y el Caribe",False,False,False,False,under_supported,search-recall,"7 organic looked on-topic by keyword overlap (e.g. abcnews.com) but the LLM judge rates the pool 13% on-topic — generic news, not authoritative coverage. Organic-authority gap; dashboard rightly carries it."
bfg_q21,20260705_092119,binary,filovirus (world),36,4,2,4,"afro.who.int,cdc.gov,who.int",who.int,True,0.2438,0.4444,0.3472,0.4667,1.0,7,7,3,4,1.0,confirmed_cases,incident,,0.85,1,organic,https://www.reuters.com/business/healthcare-pharmaceuticals/africa-cdc-uganda-health-ministry-confirms-isolated-marburg-case-2026-07-01/,Ugandan health authorities have confirmed an isolated case of Marburg virus disease,True,True,True,False,well_supported,,
bfg_q22,20260705_092157,range,poliovirus (world),41,1,0,1,polioeradication.org,polioeradication.org,True,0.2343,0.3571,0.0,0.0,,2,2,0,2,7.0,confirmed_cases,cumulative,cumulative,0.85,1,dashboard,https://polioeradication.org/about-polio/polio-this-week/,The total number of cases in 2026 is seven.,True,True,True,True,dashboard_only,search-recall,"6 organic looked on-topic by keyword overlap (e.g. nypost.com) but the LLM judge rates the pool 0% on-topic — generic news, not authoritative coverage. Organic-authority gap; dashboard rightly carries it."
bfg_q23,20260705_092215,binary,sars-cov-2 (world),42,3,1,3,"cdc.gov,ourworldindata.org,who.int",who.int,True,0.2519,0.3871,0.2258,0.0,0.0,2,0,0,2,775866783.0,confirmed_cases,cumulative,,0.5,1,dashboard,https://ourworldindata.org/coronavirus,"cumulative confirmed cases (World): 775,866,783",True,False,False,False,under_supported,search-recall,"6 organic looked on-topic by keyword overlap (e.g. motor1.com) but the LLM judge rates the pool 0% on-topic — generic news, not authoritative coverage. Organic-authority gap; dashboard rightly carries it."
bfg_q24,20260705_092256,binary,novel pathogen (world),42,15,0,15,"africacdc.org,cdc.gov,ecdc.europa.eu,empres-i.apps.fao.org,fao.org,gov.uk,healthmap.org,nextstrain.org,paho.org,promedmail.org,wahis.woah.org,who.int",who.int,True,0.2546,0.359,0.0,0.3333,,0,0,0,0,,,,,,0,none,,,False,False,False,False,under_supported,extraction,15 dashboard(s) survived filtering but produced 0 insight records (non-extractable tracker/index/JS page).
bfg_q25,20260705_092336,range,who don (world),21,15,3,15,"africacdc.org,cdc.gov,ecdc.europa.eu,empres-i.apps.fao.org,fao.org,gov.uk,healthmap.org,nextstrain.org,paho.org,promedmail.org,wahis.woah.org,who.int",who.int,True,0.2711,0.3846,0.3205,0.0,0.0,1,0,1,0,1274.0,confirmed_cases,cumulative,incident,0.85,1,organic,https://www.reuters.com/business/healthcare-pharmaceuticals/congo-says-number-confirmed-ebola-cases-1274-including-360-deaths-2026-06-29/,"confirmed Ebola cases in the country had reached 1,274",False,False,False,False,under_supported,extraction,15 dashboard(s) survived filtering but produced 0 insight records (non-extractable tracker/index/JS page).
